时间,Milkey Tan(DOH),亚托莉(DOQ),亚托莉(DOT),亚托莉(DOH-d),亚托莉(DOH-api),MPO women's clothing(DOQ),MPO women's clothing(DOT),MPO women's clothing(DOH/3),OolongTea(DOH),龙猫 totoro625(DOH),winter(DOH),夏·祈·枫(DOQ),夏·祈·枫(DOT),夏·祈·枫(DOH-IP),夏·祈·枫(DOH),夏·祈·枫(DOH-CDN-1),夏·祈·枫(DOH-CDN-2),🐱(DOQ),🐱(DOT),🐱(DOH/3),MapleCool(UDP),WoadZS赞助加速(UDP),比拉乌拉赞助加速(UDP),张 果果(DOH/3),张 果果(DOQ),张 果果(DOT)
2024-07-06 00:58:11,26,64,100,67,149,151,2000,242,141,266,253,192,313,342,613,606,1047,1074,1116,2000,2000,2000,2000,2000,2000,2000
2024-07-06 00:58:46,23,2000,62,56,141,175,181,145,130,175,171,205,221,207,245,690,868,1075,1072,2000,2000,2000,2000,2000,2000,2000
2024-07-06 00:59:23,26,68,72,209,2000,207,219,201,259,277,293,286,300,231,350,613,703,1085,1087,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:02:15,60,2000,64,141,169,176,173,187,182,224,222,209,224,251,281,561,610,2000,1305,2542,2000,2000,2000,2000,2000,2000
2024-07-06 01:02:50,44,55,63,2000,117,146,148,166,192,208,166,214,201,286,525,558,567,1055,1092,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:04:02,2000,47,54,62,126,139,164,180,225,172,170,248,241,217,250,653,784,1050,1082,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:06:53,23,56,56,2000,113,140,162,162,147,167,190,243,234,239,256,594,718,1056,1076,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:07:29,39,55,60,106,2000,176,176,198,181,202,272,256,267,265,277,554,606,1091,1368,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:08:04,21,2000,56,59,110,124,152,145,161,201,191,210,209,212,605,618,730,1054,1141,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:08:40,35,2000,62,69,187,122,256,208,271,264,263,132,160,254,173,644,628,1066,1054,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:09:16,23,53,58,103,2000,140,175,209,192,164,178,210,225,235,523,592,1053,1074,1128,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:09:51,52,102,70,2000,114,121,131,174,226,181,239,214,218,250,254,576,575,1069,1072,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:10:27,2000,37,53,60,173,160,154,162,228,175,171,259,240,230,264,570,598,1033,1064,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:11:03,64,2000,39,80,264,190,151,235,301,243,154,283,347,328,335,590,652,748,1086,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:11:38,29,2000,144,59,62,248,259,241,177,173,218,123,242,221,151,592,625,1031,1105,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:12:14,24,2000,56,57,111,92,143,200,170,198,174,165,223,186,235,621,669,1079,1091,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:12:50,53,63,62,2000,156,189,189,202,187,211,189,235,236,270,282,541,625,1109,2000,1269,2000,2000,2000,2000,2000,2000
2024-07-06 01:13:26,2000,55,38,204,79,188,266,270,282,189,136,204,163,300,361,641,682,1074,1133,2000,2000,2000,2000,2000,2000,2000
